"index";"date";"time";"A";"B";"All"
"176";2019-10-18;7;NA;NA;NA
"177";2019-10-18;8;NA;NA;NA
"178";2019-10-18;9;NA;NA;NA
"179";2019-10-18;10;"2019-10-18 10:00:00.000";370;41
"180";2019-10-18;11;"2019-10-18 11:00:00.000";370;49
"181";2019-10-18;12;"2019-10-18 12:00:00.000";370;44
"182";2019-10-18;13;"2019-10-18 13:00:00.000";370;30
"183";2019-10-18;14;"2019-10-18 14:00:00.000";370;47
"184";2019-10-18;15;"2019-10-18 15:00:00.000";370;31
"185";2019-10-18;16;"2019-10-18 16:00:00.000";370;35
"186";2019-10-18;17;"2019-10-18 17:00:00.000";370;38
"187";2019-10-18;18;"2019-10-18 18:00:00.000";370;23
"188";2019-10-18;19;"2019-10-18 19:00:00.000";370;22
"189";2019-10-18;20;NA;NA;NA
"190";2019-10-18;21;NA;NA;NA
"191";2019-10-18;22;NA;NA;NA
"192";2019-10-18;23;NA;NA;NA
"193";2019-10-19;0;NA;NA;NA
"194";2019-10-19;1;NA;NA;NA
"195";2019-10-19;2;NA;NA;NA
"196";2019-10-19;3;NA;NA;NA
"197";2019-10-19;4;NA;NA;NA
"198";2019-10-19;5;NA;NA;NA
"199";2019-10-19;6;NA;NA;NA
"200";2019-10-19;7;NA;NA;NA
"201";2019-10-19;8;NA;NA;NA
"202";2019-10-19;9;NA;NA;NA
"203";2019-10-19;10;"2019-10-19 10:00:00.000";370;41
"204";2019-10-19;11;"2019-10-19 11:00:00.000";370;48
"205";2019-10-19;12;"2019-10-19 12:00:00.000";370;43
"206";2019-10-19;13;"2019-10-19 13:00:00.000";370;36
"207";2019-10-19;14;"2019-10-19 14:00:00.000";370;53
"208";2019-10-19;15;"2019-10-19 15:00:00.000";370;57
"209";2019-10-19;16;"2019-10-19 16:00:00.000";370;43
"210";2019-10-19;17;"2019-10-19 17:00:00.000";370;34
"211";2019-10-19;18;"2019-10-19 18:00:00.000";370;36
"212";2019-10-19;19;"2019-10-19 19:00:00.000";370;15
"213";2019-10-19;20;"2019-10-19 20:00:00.000";370;3
"214";2019-10-19;21;NA;NA;NA
"215";2019-10-19;22;NA;NA;NA
"216";2019-10-19;23;NA;NA;NA
"217";2019-10-20;0;NA;NA;NA
"218";2019-10-20;1;NA;NA;NA
"219";2019-10-20;2;NA;NA;NA
"220";2019-10-20;3;NA;NA;NA
"221";2019-10-20;4;NA;NA;NA
"222";2019-10-20;5;NA;NA;NA
"223";2019-10-20;6;NA;NA;NA
"224";2019-10-20;7;NA;NA;NA
"225";2019-10-20;8;NA;NA;NA
"226";2019-10-20;9;NA;NA;NA
"227";2019-10-20;10;"2019-10-20 10:00:00.000";370;33
"228";2019-10-20;11;"2019-10-20 11:00:00.000";370;38
"229";2019-10-20;12;"2019-10-20 12:00:00.000";370;25
"230";2019-10-20;13;"2019-10-20 13:00:00.000";370;48
"231";2019-10-20;14;"2019-10-20 14:00:00.000";370;48
"232";2019-10-20;15;"2019-10-20 15:00:00.000";370;48
"233";2019-10-20;16;"2019-10-20 16:00:00.000";370;64
"234";2019-10-20;17;"2019-10-20 17:00:00.000";370;55
"235";2019-10-20;18;"2019-10-20 18:00:00.000";370;43
"236";2019-10-20;19;"2019-10-20 19:00:00.000";370;17
"237";2019-10-20;20;NA;NA;NA
"238";2019-10-20;21;NA;NA;NA
